ticker,n_members,confirm_date,source_trade_date,entry_date,entry_price,exit_date,exit_price,exit_reason,market_cap_at_entry,gross_return,net_return,holding_days,disclosure_lag_days
CB,2,2018-06-07,2018-04-05,2018-06-08 04:00:00+00:00,133.52,2018-09-06 04:00:00+00:00,137.34,stale_90d,62193898394.8,0.028609946075494275,0.027787387142207187,90,63
CCI,2,2017-03-21,2017-02-15,2017-03-22 04:00:00+00:00,91.72,2017-06-20 04:00:00+00:00,100.62,stale_90d,33068572692.56,0.09703445268207589,0.09615717603059104,90,34
CLX,2,2018-05-14,2018-04-05,2018-05-15 04:00:00+00:00,117.4,2018-08-13 04:00:00+00:00,141.22,stale_90d,15204236734.6,0.20289608177172047,0.20193414967914025,90,39
COF,2,2017-09-04,2017-07-28,2017-09-05 04:00:00+00:00,78.66,2017-12-01 05:00:00+00:00,92.72,end_of_window,38047263534.36,0.17874396135265713,0.17780134323082364,87,38
CSCO,2,2016-05-02,2016-03-24,2016-05-03 04:00:00+00:00,26.86,2016-08-01 04:00:00+00:00,30.73,stale_90d,135162776345.23999,0.14408041697691742,0.14316551860268567,90,39
CSCO,2,2017-09-11,2017-07-28,2017-09-12 04:00:00+00:00,32.41,2017-12-08 05:00:00+00:00,37.61,end_of_window,160492889130.90997,0.16044430731255788,0.15951632306040908,87,45
CSCO,2,2020-05-01,2020-03-13,2020-05-04 04:00:00+00:00,41.35,2020-07-31 04:00:00+00:00,47.1,stale_90d,175360394657.35,0.13905683192261176,0.13814595080951908,88,49
CSCO,2,2020-05-05,2020-04-06,2020-05-06 04:00:00+00:00,41.15,2020-08-04 04:00:00+00:00,47.67,stale_90d,174512218625.15,0.1584447144592953,0.1575183292418152,90,29
CVS,2,2016-11-21,2016-10-17,2016-11-22 05:00:00+00:00,73.59,2017-02-17 05:00:00+00:00,79.69,end_of_window,78479258814.66,0.08289169724147305,0.08202573027046833,87,35
CVS,2,2017-11-03,2017-09-15,2017-11-06 05:00:00+00:00,66.8,2018-01-29 05:00:00+00:00,83.5,take_profit,67667893990.0,0.25,0.24900039984006406,84,49
CVS,2,2018-05-15,2018-04-23,2018-05-16 04:00:00+00:00,66.13,2018-08-14 04:00:00+00:00,71.38,stale_90d,67230822927.10999,0.07938908211099349,0.07852591611170467,90,22
CVX,2,2017-03-31,2017-03-16,2017-04-03 04:00:00+00:00,107.8,2017-06-30 04:00:00+00:00,104.33,stale_90d,204076500166.0,-0.0321892393320965,-0.03296317836501761,88,15
DD,2,2020-03-31,2020-01-24,2020-04-01 04:00:00+00:00,32.52,2020-04-09 04:00:00+00:00,40.650000000000006,take_profit,24044912784.24,0.25,0.24900039984006428,8,67
DD,2,2020-04-05,2020-03-02,2020-04-06 04:00:00+00:00,35.39,2020-04-27 04:00:00+00:00,44.2375,take_profit,26166957670.18,0.25,0.24900039984006406,21,34
DOW,2,2019-08-23,2019-07-15,2019-08-26 04:00:00+00:00,40.82,2019-10-28 04:00:00+00:00,51.025,take_profit,30337914084.920002,0.25,0.24900039984006384,63,39
DOW,2,2020-04-05,2020-03-09,2020-04-06 04:00:00+00:00,30.54,2020-05-26 04:00:00+00:00,38.175,take_profit,22650875621.64,0.25,0.24900039984006384,50,27
DVN,2,2018-02-01,2018-01-03,2018-02-02 05:00:00+00:00,40.03,2018-02-09 05:00:00+00:00,34.0255,stop_loss,21035765000.0,-0.15000000000000002,-0.1506797281087563,7,29
F,2,2017-06-08,2017-05-15,2017-06-09 04:00:00+00:00,11.13,2017-09-07 04:00:00+00:00,11.4,stale_90d,41485215755.76,0.02425876010781658,0.02343968073148117,90,24
GE,2,2017-03-21,2017-02-13,2017-03-22 04:00:00+00:00,29.53,2017-06-20 04:00:00+00:00,28.13,stale_90d,258169391420.0,-0.047409414155096585,-0.048171181916667805,90,36
GILD,2,2016-02-03,2016-01-05,2016-02-04 05:00:00+00:00,86.68,2016-05-04 04:00:00+00:00,85.6,stale_90d,124921498522.48001,-0.012459621596677573,-0.013249338012833789,89,29
GILD,2,2017-01-05,2016-11-15,2017-01-06 05:00:00+00:00,75.49,2017-04-06 04:00:00+00:00,66.48,stale_90d,99454758799.79,-0.11935355676248494,-0.12005779222289081,89,51
GIS,2,2018-05-14,2018-04-24,2018-05-15 04:00:00+00:00,42.49,2018-08-13 04:00:00+00:00,45.47,stale_90d,24226214142.760002,0.07013414921157901,0.06927838419821541,90,20
IBM,2,2017-05-10,2017-04-05,2017-05-11 04:00:00+00:00,150.65,2017-08-09 04:00:00+00:00,141.77,stale_90d,141535205574.6,-0.05894457351476934,-0.059697116838627884,90,35
IBM,2,2017-12-12,2017-11-17,2017-12-13 05:00:00+00:00,153.91,2018-03-13 04:00:00+00:00,159.32,stale_90d,142488550987.98,0.03515041257877982,0.034322623364402505,89,25
IBM,2,2018-05-15,2018-04-18,2018-05-16 04:00:00+00:00,144.63,2018-08-14 04:00:00+00:00,143.36,stale_90d,132765756096.78,-0.008781027449353385,-0.009573685564147949,90,27
INTC,2,2017-01-25,2016-12-14,2017-01-26 05:00:00+00:00,37.56,2017-04-26 04:00:00+00:00,36.93,stale_90d,177996840000.0,-0.016773162939297204,-0.017559429902160528,89,42
IVZ,2,2016-07-12,2016-05-24,2016-07-13 04:00:00+00:00,26.68,2016-10-11 04:00:00+00:00,30.54,stale_90d,11132663923.52,0.14467766116941538,0.1437622851908713,90,49
JNJ,2,2016-05-04,2016-03-31,2016-05-05 04:00:00+00:00,112.88,2016-08-03 04:00:00+00:00,123.9,stale_90d,311476465592.95996,0.0976257973068746,0.09674804776884427,90,34
JNJ,2,2018-11-08,2018-10-17,2018-11-09 05:00:00+00:00,145.34,2018-12-24 05:00:00+00:00,123.539,stop_loss,389798678014.46,-0.15000000000000002,-0.1506797281087564,45,22
JPM,2,2017-03-21,2017-02-23,2017-03-22 04:00:00+00:00,87.53,2017-06-20 04:00:00+00:00,87.52,stale_90d,312653935394.8,-0.0001142465440421292,-0.0009138353112998487,90,26
JPM,2,2017-12-11,2017-10-26,2017-12-12 05:00:00+00:00,106.85,2018-03-12 04:00:00+00:00,117.66,stale_90d,370740177902.44995,0.10116986429574171,0.10028928063776843,89,46
JPM,2,2018-06-12,2018-04-05,2018-06-13 04:00:00+00:00,109.97,2018-09-11 04:00:00+00:00,114.43,stale_90d,374423318112.33997,0.040556515413294525,0.03972440304591096,90,68
JPM,2,2019-08-07,2018-12-06,2019-08-08 04:00:00+00:00,109.86,2019-11-05 05:00:00+00:00,129.1,stale_90d,351275700891.54,0.17513198616420889,0.17419225646715653,89,244
JPM,2,2020-04-29,2020-03-03,2020-04-30 04:00:00+00:00,95.76,2020-07-29 04:00:00+00:00,99.68,stale_90d,294364000748.16003,0.040935672514619936,0.04010325694283701,90,57
KMI,2,2017-03-31,2017-03-16,2017-04-03 04:00:00+00:00,21.59,2017-05-31 04:00:00+00:00,18.351499999999998,stop_loss,48198356779.37,-0.15000000000000013,-0.15067972810875652,58,15
KTB,2,2019-11-03,2019-09-24,2019-11-04 05:00:00+00:00,38.4,2020-01-31 05:00:00+00:00,38.14,stale_90d,2184164928.0,-0.0067708333333332815,-0.007565098960415795,88,40
LOW,2,2016-05-04,2016-03-31,2016-05-05 04:00:00+00:00,75.14,2016-08-03 04:00:00+00:00,82.02,stale_90d,67433538583.06,0.09156241682193222,0.09068951604878395,90,34
