ticker,issuer_cik,issuer_name,n_insiders,confirm_date,entry_date,entry_price,exit_date,exit_price,exit_reason,market_cap_at_entry,gross_return,net_return,holding_days
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2020-03-18,2020-03-19 04:00:00+00:00,34.76,2020-03-31 04:00:00+00:00,43.449999999999996,take_profit,5399606824.92,0.25,0.24900039984006428,12
