period,eps_threshold,score_cutoff,score_qmin,stop_key,stop_label,n,win_rate,avg_return,median_return,avg_winner,avg_loser,profit_factor,sharpe,max_drawdown_pct,max_consec_losses,avg_holding_days,total_pnl,avg_position_dollar,avg_return_vs_baseline
IS (2022-2024),12.5,>=4,1,atr20,"max(8%, 2.0xATR14)",1261,55.4,1.222,1.753,7.97,-7.17,1.412,0.134,-54.7,27,34.4,154907.0,9637.0,-0.588
IS (2022-2024),10.0,>=6,3,flat8,flat -8%,281,58.4,1.717,2.245,7.34,-6.17,1.669,0.209,-17.93,9,36.1,53083.0,11000.0,-0.093
IS (2022-2024),10.0,>=6,3,flat10,flat -10%,281,59.8,1.765,2.34,7.34,-6.52,1.673,0.206,-20.3,9,37.7,54543.0,11000.0,-0.045
IS (2022-2024),10.0,>=6,3,flat12,flat -12%,281,59.8,1.751,2.34,7.34,-6.55,1.665,0.202,-20.1,9,38.9,54139.0,11000.0,-0.059
IS (2022-2024),10.0,>=6,3,atr15,"max(8%, 1.5xATR14)",281,58.4,1.704,2.245,7.34,-6.2,1.662,0.207,-16.32,9,36.1,47661.0,9951.0,-0.106
IS (2022-2024),10.0,>=6,3,atr20,"max(8%, 2.0xATR14)",281,58.7,1.779,2.281,7.44,-6.27,1.689,0.212,-16.2,9,36.4,48641.0,9827.0,-0.031
IS (2022-2024),10.0,>=5,2,flat8,flat -8%,952,56.8,1.477,2.027,7.63,-6.62,1.517,0.173,-46.66,14,35.1,154644.0,11000.0,-0.333
IS (2022-2024),10.0,>=5,2,flat10,flat -10%,952,58.4,1.584,2.27,7.57,-6.82,1.558,0.181,-46.8,10,37.3,165843.0,11000.0,-0.226
IS (2022-2024),10.0,>=5,2,flat12,flat -12%,952,59.6,1.736,2.555,7.54,-6.81,1.63,0.197,-41.77,10,38.8,181768.0,11000.0,-0.074
IS (2022-2024),10.0,>=5,2,atr15,"max(8%, 1.5xATR14)",952,56.8,1.454,2.027,7.63,-6.68,1.511,0.17,-43.63,14,35.1,138588.0,9931.0,-0.356
IS (2022-2024),10.0,>=5,2,atr20,"max(8%, 2.0xATR14)",952,57.1,1.504,2.115,7.65,-6.7,1.543,0.174,-40.46,10,35.6,141839.0,9746.0,-0.306
IS (2022-2024),10.0,>=4,1,flat8,flat -8%,1575,55.2,1.308,1.618,7.84,-6.74,1.433,0.149,-66.42,28,34.3,226608.0,11000.0,-0.502
IS (2022-2024),10.0,>=4,1,flat10,flat -10%,1575,56.7,1.385,1.941,7.81,-7.02,1.455,0.153,-69.02,23,36.7,239958.0,11000.0,-0.425
IS (2022-2024),10.0,>=4,1,flat12,flat -12%,1575,57.9,1.495,2.222,7.77,-7.13,1.498,0.163,-68.41,18,38.2,259050.0,11000.0,-0.315
IS (2022-2024),10.0,>=4,1,atr15,"max(8%, 1.5xATR14)",1575,55.2,1.259,1.618,7.84,-6.85,1.423,0.142,-62.94,28,34.4,200499.0,9903.0,-0.551
