date,cash,mtm,equity,n_pos,invested_frac
2025-02-13,95055.8338887157,5133.362022399902,100189.1959111156,1,0.05123668251568806
2025-02-14,90072.26374726304,10157.472221374512,100229.73596863756,2,0.1013419034103097
2025-02-18,90072.26374726304,10160.022968292236,100232.28671555528,2,0.10136477278149815
2025-02-19,90072.26374726304,10183.094528198242,100255.35827546129,2,0.10157157386260798
2025-02-20,90072.26374726304,10103.593734741211,100175.85748200426,2,0.10085857000581439
2025-02-21,90072.26374726304,9973.194179534912,100045.45792679796,2,0.09968662632172844
2025-02-24,90072.26374726304,10010.633098602295,100082.89684586534,2,0.1000234147300849
2025-02-25,90072.26374726304,10028.240943908691,100100.50469117174,2,0.10018172210867107
2025-02-26,90072.26374726304,10147.780048370361,100220.0437956334,2,0.10125499514910909
2025-02-27,90072.26374726304,10191.50590133667,100263.76964859971,2,0.10164694522313927
2025-02-28,90072.26374726304,10266.270961761475,100338.53470902452,2,0.10231633331633773
2025-03-03,90072.26374726304,10202.848194122314,100275.11194138536,2,0.10174855950384049
2025-03-04,90072.26374726304,10004.868865966797,100077.13261322984,2,0.0999715779690933
2025-03-05,90072.26374726304,10115.769104003906,100188.03285126695,2,0.10096783833475562
2025-03-06,90072.26374726304,10070.085277557373,100142.34902482042,2,0.10055770985621167
2025-03-07,90072.26374726304,10361.655029296875,100433.91877655992,2,0.10316888114610899
2025-03-10,90072.26374726304,10365.373050689697,100437.63679795274,2,0.10320208022756842
2025-03-11,90072.26374726304,10133.770496368408,100206.03424363145,2,0.10112934388492133
2025-03-12,90072.26374726304,10036.682125091553,100108.9458723546,2,0.10025759473972459
2025-03-13,90072.26374726304,10054.633842468262,100126.8975897313,2,0.1004189092492109
2025-03-14,95147.17786707124,5041.954364776611,100189.13223184785,1,0.05032436405486591
2025-03-17,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-18,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-19,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-20,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-21,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-24,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-25,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-26,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-27,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-28,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-03-31,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-01,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-02,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-03,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-04,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-07,100162.9692344571,0.0,100162.9692344571,0,0.0
