gap,vol,entry,maxhold,period,n_trades,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,win_rate_pct,expectancy_pct,median_return_pct,profit_factor,largest_winner_contrib_pct,expectancy_ex_top1_pct,avg_invested_frac_pct,recon_ok
0.05,1.5,next_open,10,IS_2022_2024,23,1.8810547478941952,0.6710787971745402,-0.8227644296113307,0.8638299626903873,65.21739130434783,1.6191049224521847,2.760260562390826,2.1101096495772973,13.478338282650714,1.2645024514193348,1.2287125945755883,True
0.05,1.5,next_open,10,OOS_2025,10,1.0830891016448518,1.3105061540759522,-0.9344712201745389,1.1194126458956708,60.0,2.549089469069125,3.0983169803377453,3.0720144207342455,29.249963377033367,1.601748111309715,1.8558236710464626,True
0.05,1.5,next_open,20,IS_2022_2024,23,0.8065372472237264,0.2845176223224444,-1.8125348030132338,0.28222322658482096,47.82608695652174,0.6613334658334296,-0.2910773774209563,1.315146490800324,15.464509004747676,0.25356165675465736,2.2067702659518376,True
0.05,1.5,next_open,20,OOS_2025,10,1.3671348719122456,1.6546796362662208,-0.6712507907264084,1.0927151847167274,60.0,3.1318676501015568,0.4657442787243893,3.907798493389009,35.95019957116008,1.802746288865937,3.584898528050158,True
0.05,1.5,next_open,30,IS_2022_2024,23,0.7896416717681598,0.2748389571875176,-2.0478710596049727,0.24228200007413592,39.130434782608695,0.652758533565059,-2.91996728301962,1.2628459945797195,24.983377422286836,-0.1244187677847937,2.998883870445673,True
0.05,1.5,next_open,30,OOS_2025,10,1.9000183087906963,2.255583509353376,-0.6699567352115515,1.3613209904348886,60.0,4.174334203086065,2.23617951761903,4.0430567872606185,44.130625557184,1.9057892905304314,5.251890301782931,True
0.05,1.5,breakout,10,IS_2022_2024,21,1.4307266805156482,0.5091416514664493,-0.6464193741722525,0.6896596422084788,71.42857142857143,1.3729283003344088,2.760260562390826,2.040074105565484,13.235409302802276,1.0771849222386254,1.2105911220762389,True
0.05,1.5,breakout,10,OOS_2025,8,1.2873339178536725,1.687478111056473,-0.5059228059413928,1.5108441546012519,75.0,3.6602227013742716,3.1039559077642775,5.471670560225522,30.94754828010902,2.600945703155766,1.902773847707386,True
0.05,1.5,breakout,20,IS_2022_2024,21,-0.15454194691724155,-0.054474966312190176,-2.2027801647142247,-0.04680561209672731,42.857142857142854,-0.2102450229272045,-1.407858369405146,0.9041670724117157,20.62413358768545,-0.6421065954981858,2.210284577088757,True
0.05,1.5,breakout,20,OOS_2025,8,1.5342364977306344,1.908264468065357,-0.8078066131859024,1.2343454669262137,75.0,4.373086098913957,1.445389022191057,7.897049692338509,38.54232288484171,2.841532698584218,3.5589629294886613,True
