exit,period,n_trades,total_return_pct,win_rate_pct,expectancy_pct,median_return_pct,profit_factor,max_drawdown_pct,largest_winner_contrib_pct
hard_only,IS_2022_2024,20,12.823505303860717,20.0,12.609474364543988,-8.183816183816173,2.7688096639363717,-13.084892574712658,36.85269436825847
hard_only,OOS_2025,6,2.7091085581021357,33.33333333333333,9.813248944530928,-8.183816183816168,2.6332286844705144,-1.8092294689009876,74.72758296086703
time_only,IS_2022_2024,21,-0.4565474299163208,47.61904761904761,-0.5082320161248601,-0.2910773774209563,0.8400879038873967,-2.3902915448717703,17.537405632683882
time_only,OOS_2025,6,-0.05354312462138022,66.66666666666666,0.4740096467795718,1.6455198349712097,1.1583857436047815,-1.5047172064752656,62.511114563783856
trail_only,IS_2022_2024,19,2.978842445829555,78.94736842105263,3.2134802482088616,4.801261996799422,1.5205380300037046,-4.413955499069674,22.610054242638157
trail_only,OOS_2025,6,2.0802280873780665,83.33333333333334,7.915246974734686,6.152429056194375,2.5236636578593323,-2.6737455091932882,45.300431341472944
earn_only,IS_2022_2024,21,-0.059611507694923294,47.61904761904761,-0.06084850552053032,-2.9124644698730773,0.9801741947055478,-3.3222200645867823,25.392419656247167
earn_only,OOS_2025,6,5.789407181574879,66.66666666666666,20.977661817390892,14.63080304823613,7.136149951754211,-4.580084382924867,52.32955089110837
combined_canonical,IS_2022_2024,21,0.6600885093537512,47.61904761904761,0.5878483906470706,-0.2910773774209563,1.2662933743154254,-1.7620338918251635,16.820233874423177
combined_canonical,OOS_2025,6,0.06805493998136569,50.0,0.8749356367926989,-0.046287706813707974,1.4899537524213224,-0.679921129979603,79.17841482735811
