ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,spy_bull_regime,year
AIZ,Financials,2025-11-04,2025-11-06,216.6178,2025-12-18,237.0668,time,42,9.44,1038.42,5.17,4.36,18.63,True,2025
T,Communication Services,2025-01-27,2025-01-29,23.428,2025-03-12,24.3856,time,42,4.09,449.62,0.56,0.48,17.3,True,2025
T,Communication Services,2025-04-23,2025-04-25,26.3117,2025-06-06,26.9057,time,42,2.26,248.36,0.61,0.49,23.36,False,2025
T,Communication Services,2025-07-23,2025-07-25,27.01,2025-09-05,28.6359,time,42,6.02,662.13,0.54,0.53,1.92,True,2025
ATO,Utilities,2025-02-04,2025-02-06,140.1144,2025-03-20,146.7086,time,42,4.71,517.69,2.23,2.21,0.84,True,2025
ATO,Utilities,2025-05-07,2025-05-09,157.078,2025-06-20,150.2048,time,42,-4.38,-481.32,3.03,2.88,5.3,False,2025
ATO,Utilities,2025-08-06,2025-08-08,159.282,2025-09-19,160.1986,time,42,0.58,63.3,1.16,1.15,1.25,True,2025
ATO,Utilities,2025-11-06,2025-11-10,172.9708,2025-12-22,165.4794,time,42,-4.33,-476.41,1.07,1.0,6.85,True,2025
ADSK,Information Technology,2025-02-27,2025-03-03,278.26,2025-03-10,248.4,hard_stop,7,-10.73,-1180.41,2.29,2.14,7.01,True,2025
ADSK,Information Technology,2025-05-22,2025-05-27,297.52,2025-07-08,314.91,time,42,5.84,642.95,2.29,2.15,6.67,True,2025
ADSK,Information Technology,2025-08-28,2025-09-02,313.02,2025-10-14,306.59,time,42,-2.05,-225.96,2.62,2.45,7.01,True,2025
ADSK,Information Technology,2025-11-25,2025-11-28,300.29,2026-01-09,276.02,time,42,-8.08,-889.04,2.67,2.5,6.89,True,2025
ADP,Industrials,2025-01-29,2025-01-31,292.8266,2025-03-14,284.603,time,42,-2.81,-308.92,2.35,2.3,2.38,True,2025
ADP,Industrials,2025-04-30,2025-05-02,293.6358,2025-06-13,300.7889,time,42,2.44,267.97,3.06,2.97,2.93,False,2025
ADP,Industrials,2025-10-29,2025-10-31,256.834,2025-12-12,263.9194,time,42,2.76,303.46,2.49,2.45,1.8,True,2025
AVB,Real Estate,2025-02-04,2025-02-06,212.8123,2025-03-20,201.892,time,42,-5.13,-564.46,2.15,1.27,69.63,True,2025
