ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,year
ACN,Information Technology,2023-09-28,2023-10-02,294.7111,2023-11-13,303.6884,time,42,3.05,335.08,2.71,2.63,2.86,2023
ACN,Information Technology,2023-12-19,2023-12-21,327.3,2024-02-01,358.1802,time,42,9.43,1037.83,3.27,3.13,4.46,2023
ACN,Information Technology,2024-03-21,2024-03-25,324.478,2024-04-29,293.8889,hard_stop,35,-9.43,-1036.99,2.77,2.66,4.05,2024
ACN,Information Technology,2024-09-26,2024-09-30,339.324,2024-11-11,349.3083,time,42,2.94,323.67,2.79,2.77,0.63,2024
ACN,Information Technology,2024-12-19,2024-12-23,352.5149,2025-01-14,341.1842,data_end,22,-3.21,-353.57,3.59,3.42,5.12,2024
ADBE,Information Technology,2022-03-22,2022-03-24,426.08,2022-04-11,434.44,trail_stop,18,1.96,215.83,3.37,3.34,0.78,2022
ADBE,Information Technology,2022-06-16,2022-06-21,355.02,2022-07-26,379.26,trail_stop,35,6.83,751.06,3.35,3.31,1.31,2022
ADBE,Information Technology,2022-09-15,2022-09-19,294.88,2022-10-31,318.5,time,42,8.01,881.1,3.4,3.34,1.66,2022
ADBE,Information Technology,2022-12-15,2022-12-19,338.0,2023-01-30,363.42,time,42,7.52,827.28,3.6,3.5,2.72,2022
ADBE,Information Technology,2023-03-15,2023-03-17,354.78,2023-04-28,377.56,time,42,6.42,706.3,2.71,2.65,2.17,2023
ADBE,Information Technology,2023-06-15,2023-06-20,485.63,2023-08-01,549.1,time,42,13.07,1437.66,3.91,3.79,3.22,2023
ADBE,Information Technology,2023-09-14,2023-09-18,524.23,2023-10-30,526.94,time,42,0.52,56.86,4.1,3.98,3.06,2023
ADBE,Information Technology,2023-12-13,2023-12-15,580.6,2024-01-26,613.93,time,42,5.74,631.47,4.27,4.14,3.17,2023
ADBE,Information Technology,2024-03-14,2024-03-18,495.55,2024-04-29,473.07,time,42,-4.54,-499.0,4.48,4.38,2.23,2024
ADBE,Information Technology,2024-06-13,2024-06-17,525.51,2024-07-24,531.04,trail_stop,37,1.05,115.75,4.48,4.4,1.92,2024
ADBE,Information Technology,2024-09-12,2024-09-16,537.4,2024-10-07,487.3,hard_stop,21,-9.32,-1025.49,4.65,4.54,2.49,2024
ADBE,Information Technology,2024-12-11,2024-12-13,473.98,2025-01-03,430.57,hard_stop,21,-9.16,-1007.45,4.81,4.67,3.01,2024
AMD,Information Technology,2022-02-01,2022-02-03,120.32,2022-02-11,113.18,trail_stop,8,-5.93,-652.76,0.92,0.76,21.38,2022
AMD,Information Technology,2022-05-03,2022-05-05,97.65,2022-05-09,86.36,hard_stop,4,-11.56,-1271.79,1.13,0.92,22.23,2022
AMD,Information Technology,2022-08-02,2022-08-04,97.5,2022-08-29,88.49,hard_stop,25,-9.24,-1016.51,1.05,1.04,1.37,2022
AMD,Information Technology,2023-01-31,2023-02-02,84.29,2023-02-21,76.77,hard_stop,19,-8.92,-981.37,0.69,0.67,2.51,2023
AMD,Information Technology,2023-05-02,2023-05-04,81.57,2023-06-02,117.86,trail_stop,29,44.49,4893.83,0.6,0.56,6.5,2023
AMD,Information Technology,2023-08-01,2023-08-03,108.95,2023-09-14,106.63,time,42,-2.13,-234.24,0.58,0.57,1.05,2023
AMD,Information Technology,2023-10-31,2023-11-02,107.96,2023-12-14,138.0,time,42,27.83,3060.76,0.7,0.68,3.59,2023
AMD,Information Technology,2024-04-30,2024-05-02,145.51,2024-06-11,158.96,trail_stop,40,9.24,1016.77,0.62,0.61,2.04,2024
AMD,Information Technology,2024-07-30,2024-08-01,145.0,2024-08-01,132.54,hard_stop,0,-8.59,-945.24,0.69,0.68,1.26,2024
AES,Utilities,2022-02-24,2022-02-28,17.5976,2022-04-11,20.6898,time,42,17.57,1932.86,0.45,0.43,4.91,2022
AES,Utilities,2022-08-04,2022-08-08,20.7992,2022-09-19,22.6189,time,42,8.75,962.39,0.34,0.31,8.49,2022
AES,Utilities,2022-11-04,2022-11-08,22.9429,2022-12-20,24.2603,time,42,5.74,631.62,0.63,0.53,18.04,2022
AES,Utilities,2023-02-27,2023-03-01,21.2456,2023-03-17,19.2743,hard_stop,16,-9.28,-1020.67,0.49,0.46,5.57,2023
AES,Utilities,2023-11-02,2023-11-06,14.6916,2023-12-18,16.8031,time,42,14.37,1580.88,0.6,0.54,11.13,2023
AES,Utilities,2024-02-26,2024-02-28,13.406,2024-04-10,15.7801,time,42,17.71,1948.07,0.73,0.67,9.17,2024
AES,Utilities,2024-05-02,2024-05-06,16.998,2024-06-07,17.9083,trail_stop,32,5.36,589.08,0.5,0.34,46.49,2024
AES,Utilities,2024-08-01,2024-08-05,15.2445,2024-09-16,17.3014,time,42,13.49,1484.18,0.38,0.37,1.84,2024
AES,Utilities,2024-10-31,2024-11-04,13.7046,2024-11-07,12.5549,hard_stop,3,-8.39,-922.82,0.71,0.64,11.06,2024
AFL,Financials,2022-02-02,2022-02-04,57.4764,2022-03-18,57.1826,time,42,-0.51,-56.23,1.33,1.26,5.4,2022
AFL,Financials,2022-04-27,2022-04-29,53.649,2022-06-10,50.8955,time,42,-5.13,-564.55,1.42,1.37,3.96,2022
AFL,Financials,2022-08-01,2022-08-03,53.7226,2022-09-14,55.3686,time,42,3.06,337.03,1.46,1.28,14.21,2022
AFL,Financials,2023-02-01,2023-02-03,63.547,2023-03-13,57.9156,hard_stop,38,-8.86,-974.81,1.29,1.21,6.44,2023
AFL,Financials,2023-04-26,2023-04-28,64.6891,2023-06-09,64.6715,time,42,-0.03,-2.99,1.55,1.4,10.74,2023
AFL,Financials,2023-08-01,2023-08-03,71.7979,2023-09-14,72.903,time,42,1.54,169.32,1.58,1.44,10.07,2023
AFL,Financials,2023-11-01,2023-11-03,77.2974,2023-12-15,76.3711,time,42,-1.2,-131.82,1.84,1.49,23.64,2023
AFL,Financials,2024-05-01,2024-05-03,80.0985,2024-06-14,83.503,time,42,4.25,467.55,1.66,1.58,5.17,2024
AFL,Financials,2024-07-31,2024-08-02,96.2146,2024-09-13,104.6767,time,42,8.8,967.46,1.83,1.6,14.51,2024
A,Health Care,2022-02-22,2022-02-24,119.923,2022-04-07,131.9865,time,42,10.06,1106.53,1.21,1.18,2.74,2022
A,Health Care,2022-05-24,2022-05-26,117.2469,2022-07-07,119.7891,time,42,2.17,238.51,1.13,1.12,1.3,2022
A,Health Care,2022-08-16,2022-08-18,138.0079,2022-08-26,126.3257,hard_stop,8,-8.46,-931.14,1.34,1.21,10.96,2022
A,Health Care,2022-11-21,2022-11-23,152.658,2023-01-04,148.0064,time,42,-3.05,-335.18,1.53,1.39,10.33,2022
A,Health Care,2023-02-28,2023-03-02,133.0077,2023-04-13,138.092,time,42,3.82,420.48,1.37,1.31,4.46,2023
A,Health Care,2023-05-23,2023-05-25,118.6704,2023-07-06,115.9787,time,42,-2.27,-249.51,1.27,1.26,0.63,2023
A,Health Care,2023-08-15,2023-08-17,119.4748,2023-09-21,107.4588,hard_stop,35,-10.06,-1106.31,1.43,1.37,4.55,2023
A,Health Care,2023-11-20,2023-11-22,121.5507,2024-01-03,128.9218,time,42,6.06,667.07,1.38,1.34,3.02,2023
A,Health Care,2024-02-27,2024-02-29,135.1635,2024-04-11,142.7572,time,42,5.62,618.0,1.29,1.23,4.68,2024
A,Health Care,2024-05-29,2024-05-31,128.9737,2024-07-12,130.4263,time,42,1.13,123.89,1.22,1.19,2.42,2024
A,Health Care,2024-08-21,2024-08-23,139.2839,2024-10-04,143.2202,time,42,2.83,310.87,1.32,1.26,4.93,2024
APD,Materials,2022-02-04,2022-02-08,225.9933,2022-03-01,206.739,hard_stop,21,-8.52,-937.18,2.52,2.5,0.97,2022
APD,Materials,2022-05-05,2022-05-09,209.2799,2022-06-14,215.9139,trail_stop,36,3.17,348.69,2.38,2.37,0.27,2022
APD,Materials,2022-08-04,2022-08-08,239.8779,2022-09-19,226.5938,time,42,-5.54,-609.16,2.62,2.61,0.43,2022
APD,Materials,2022-11-03,2022-11-07,254.2122,2022-12-19,287.0615,time,42,12.92,1421.42,2.89,2.76,4.64,2022
APD,Materials,2023-05-09,2023-05-11,257.6779,2023-06-22,266.5822,time,42,3.46,380.11,2.74,2.66,3.11,2023
APD,Materials,2023-08-03,2023-08-07,264.7107,2023-09-18,278.9011,time,42,5.36,589.68,2.98,2.91,2.24,2023
APD,Materials,2023-11-07,2023-11-09,245.9496,2023-12-21,254.5779,time,42,3.51,385.9,3.15,3.11,1.17,2023
APD,Materials,2024-04-30,2024-05-02,226.683,2024-06-13,270.9806,time,42,19.54,2149.58,2.85,2.7,5.48,2024
